title,location,place,price,rating,image_url,details,map_url,type
The Oberoi Rajvilas,"Jaipur, Rajasthan",Goner Road,24000,4.9,https://images.unsplash.com/photo-1566073771259-cc28c264e15e?w=800,"Luxury resort on 32 acres with traditional Rajasthani architecture.",https://www.google.com/maps?q=26.8248,75.8644,hotel
ITC Rajputana,"Jaipur, Rajasthan",Palace Road,10500,4.7,https://images.unsplash.com/photo-1564501049412-61c2a3083791?w=800,"Luxury hotel showcasing Rajasthani architecture and design.",https://www.google.com/maps?q=26.9124,75.7873,hotel
Laxmi Misthan Bhandar,"Jaipur, Rajasthan",Johari Bazaar,300,4.6,https://images.unsplash.com/photo-1599599810769-bcde5a160d32?w=800,"Iconic sweet shop and restaurant since 1954.",https://www.google.com/maps?q=26.9259,75.8243,restaurant
Chokhi Dhani,"Jaipur, Rajasthan",Tonk Road,1200,4.6,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=800,"Ethnic village resort serving traditional Rajasthani cuisine.",https://www.google.com/maps?q=26.7771,75.8456,restaurant
The Park,"Kolkata, West Bengal",Park Street,9500,4.6,https://images.unsplash.com/photo-1549294413-26f195200c16?w=800,"Contemporary boutique hotel on historic Park Street.",https://www.google.com/maps?q=22.5526,88.3527,hotel
ITC Sonar,"Kolkata, West Bengal",EM Bypass,11000,4.7,https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?w=800,"Luxury hotel with expansive grounds and golf course.",https://www.google.com/maps?q=22.5106,88.4183,hotel
The Oberoi Grand,"Kolkata, West Bengal",Chowringhee,13500,4.8,https://images.unsplash.com/photo-1566073771259-cc28c264e15e?w=800,"Historic luxury hotel since 1938 in the heart of Kolkata.",https://www.google.com/maps?q=22.5623,88.3516,hotel
Peter Cat,"Kolkata, West Bengal",Park Street,650,4.5,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=800,"Famous for its Chelo Kebabs and retro ambiance.",https://www.google.com/maps?q=22.5538,88.3535,restaurant
Flurys,"Kolkata, West Bengal",Park Street,550,4.6,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=800,"Legendary tearoom and confectionery since 1927.",https://www.google.com/maps?q=22.5532,88.3524,restaurant
6 Ballygunge Place,"Kolkata, West Bengal",Ballygunge,800,4.7,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=800,"Authentic Bengali home-style cuisine in heritage setting.",https://www.google.com/maps?q=22.5376,88.3656,restaurant
Taj Exotica,"Goa, India",Benaulim,14000,4.8,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800,"Beachfront luxury resort with lagoon-style pools.",https://www.google.com/maps?q=15.2632,73.9299,hotel
The Leela,"Goa, India",Mobor Beach,16000,4.9,https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?w=800,"Premium beach resort with golf course and casino.",https://www.google.com/maps?q=15.1691,73.9460,hotel
Grand Hyatt,"Goa, India",Bambolim,12500,4.7,https://images.unsplash.com/photo-1571896349842-33c89424de2d?w=800,"Contemporary resort with authentic Goan architecture.",https://www.google.com/maps?q=15.4909,73.8278,hotel
Park Hyatt,"Goa, India",Cansaulim,13500,4.8,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800,"Luxury beach resort with Portuguese-inspired design.",https://www.google.com/maps?q=15.2350,73.9466,hotel
Gunpowder,"Goa, India",Assagao,850,4.7,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=800,"Garden restaurant serving regional South Indian cuisine.",https://www.google.com/maps?q=15.5905,73.7642,restaurant
Thalassa,"Goa, India",Siolim,1500,4.8,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=800,"Greek restaurant with stunning sea views.",https://www.google.com/maps?q=15.5953,73.7462,restaurant
Vinayak Family Restaurant,"Goa, India",Panjim,400,4.5,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=800,"Local favorite for authentic Goan thali and seafood.",https://www.google.com/maps?q=15.4909,73.8278,restaurant
Vivanta Pune,"Pune, Maharashtra",Hinjewadi,8500,4.6,https://images.unsplash.com/photo-1549294413-26f195200c16?w=800,"Modern hotel in IT park area with great amenities.",https://www.google.com/maps?q=18.5913,73.7389,hotel
JW Marriott Pune,"Pune, Maharashtra",Senapati Bapat Road,11000,4.7,https://images.unsplash.com/photo-1571896349842-33c89424de2d?w=800,"Luxury hotel with extensive dining and spa facilities.",https://www.google.com/maps?q=18.5314,73.8446,hotel
The Westin Pune,"Pune, Maharashtra",Koregaon Park,10500,4.7,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800,"Contemporary hotel in the upscale Koregaon Park area.",https://www.google.com/maps?q=18.5380,73.8959,hotel
Vaishali Restaurant,"Pune, Maharashtra",FC Road,250,4.4,https://images.unsplash.com/photo-1668236543090-82eba5ee5976?w=800,"Popular South Indian restaurant since 1975.",https://www.google.com/maps?q=18.5204,73.8567,restaurant
Kayani Bakery,"Pune, Maharashtra",East Street,200,4.6,https://images.unsplash.com/photo-1599599810769-bcde5a160d32?w=800,"Legendary bakery famous for Shrewsbury biscuits since 1955.",https://www.google.com/maps?q=18.5196,73.8553,restaurant
Marriott Kochi,"Kochi, Kerala",Lulu Mall,9500,4.7,https://images.unsplash.com/photo-1571896349842-33c89424de2d?w=800,"Modern hotel adjacent to India's largest shopping mall.",https://www.google.com/maps?q=10.0261,76.3125,hotel
Trident Kochi,"Kochi, Kerala",Marine Drive,8500,4.6,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800,"Waterfront hotel overlooking Kochi harbour.",https://www.google.com/maps?q=9.9674,76.2830,hotel
Grand Hyatt Kochi,"Kochi, Kerala",Bolgatty Island,12000,4.8,https://images.unsplash.com/photo-1455587734955-081b22074882?w=800,"Luxury resort on a private island waterfront.",https://www.google.com/maps?q=9.9772,76.2676,hotel
Kayees Rahmathulla Hotel,"Kochi, Kerala",Mattancherry,350,4.6,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=800,"Famous for authentic Malabar biryani since 1958.",https://www.google.com/maps?q=9.9588,76.2577,restaurant
Dhe Puttu,"Kochi, Kerala",Panampilly Nagar,400,4.7,https://images.unsplash.com/photo-1668236543090-82eba5ee5976?w=800,"Specializes in traditional Kerala puttu with 15+ varieties.",https://www.google.com/maps?q=9.9805,76.2886,restaurant
Tea County Munnar,"Munnar, Kerala",Chithirapuram,6500,4.7,https://images.unsplash.com/photo-1549294413-26f195200c16?w=800,"Plantation resort surrounded by tea estates.",https://www.google.com/maps?q=10.0889,77.0595,hotel
Windermere Estate,"Munnar, Kerala",Pothamedu,7500,4.8,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800,"Colonial-era plantation bungalow turned luxury resort.",https://www.google.com/maps?q=10.0772,77.0597,hotel
Saravana Bhavan,"Munnar, Kerala",Town Center,200,4.4,https://images.unsplash.com/photo-1630383249896-424e482df921?w=800,"Popular South Indian vegetarian restaurant.",https://www.google.com/maps?q=10.0889,77.0595,restaurant
Novotel Goa Candolim,"Goa, India",Candolim Beach,8500,4.6,https://images.unsplash.com/photo-1549294413-26f195200c16?w=800,"Contemporary beachfront resort with modern amenities.",https://www.google.com/maps?q=15.5183,73.7620,hotel
Alila Diwa,"Goa, India",Majorda,11500,4.7,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800,"Luxury resort with paddy field views and spa.",https://www.google.com/maps?q=15.2859,73.9416,hotel
Fisherman's Wharf,"Goa, India",Cavelossim,900,4.5,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=800,"Waterfront restaurant serving Goan and seafood specialties.",https://www.google.com/maps?q=15.1707,73.9478,restaurant
Pousada by the Beach,"Goa, India",Calangute,650,4.6,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=800,"Beach shack-style restaurant with live music.",https://www.google.com/maps?q=15.5437,73.7532,restaurant
Le Meridien Mahabaleshwar,"Mahabaleshwar, Maharashtra",Metgutad,9500,4.6,https://images.unsplash.com/photo-1549294413-26f195200c16?w=800,"Hill resort with panoramic valley views.",https://www.google.com/maps?q=17.9244,73.6519,hotel
The Machan,"Lonavala, Maharashtra",Jambulne,12000,4.8,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800,"Unique treehouse resort immersed in nature.",https://www.google.com/maps?q=18.8003,73.4091,hotel
Rama Krishna,"Lonavala, Maharashtra",Old Mumbai Road,350,4.5,https://images.unsplash.com/photo-1668236543090-82eba5ee5976?w=800,"Famous for South Indian breakfast and filter coffee.",https://www.google.com/maps?q=18.7537,73.4087,restaurant
Wildernest Nature Resort,"Goa, India",Chorla Ghat,7500,4.7,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800,"Eco-resort in the Western Ghats rainforest.",https://www.google.com/maps?q=15.4909,74.0278,hotel
The Gateway Hotel,"Varkala, Kerala",Janardhanapuram,8000,4.6,https://images.unsplash.com/photo-1549294413-26f195200c16?w=800,"Cliffside resort overlooking the Arabian Sea.",https://www.google.com/maps?q=8.7380,76.7163,hotel
Clafouti,"Varkala, Kerala",Cliff Area,550,4.5,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=800,"European-style cafe with stunning cliff views.",https://www.google.com/maps?q=8.7380,76.7163,restaurant
Fragrant Nature,"Kollam, Kerala",Paravur Lake,9500,4.7,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800,"Lakeside backwater resort with Ayurvedic spa.",https://www.google.com/maps?q=8.9106,76.5764,hotel
Marari Beach Resort,"Alappuzha, Kerala",Mararikulam,10500,4.8,https://images.unsplash.com/photo-1455587734955-081b22074882?w=800,"Beachfront eco-resort with traditional Kerala cottages.",https://www.google.com/maps?q=9.6070,76.3031,hotel
Tharavadu,"Alappuzha, Kerala",Boat Jetty,650,4.6,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=800,"Heritage restaurant in a 150-year-old Kerala mansion.",https://www.google.com/maps?q=9.4981,76.3388,restaurant
Evolve Back Coorg,"Madikeri, Karnataka",Siddapura,18000,4.9,https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?w=800,"Luxury plantation resort in coffee country.",https://www.google.com/maps?q=12.3375,75.7139,hotel
Taj Madikeri Resort,"Madikeri, Karnataka",Raja Seat,13500,4.8,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800,"Premium resort with rainforest and valley views.",https://www.google.com/maps?q=12.4244,75.7382,hotel
Coorg Cuisine,"Madikeri, Karnataka",MG Road,450,4.6,https://images.unsplash.com/photo-1668236543090-82eba5ee5976?w=800,"Authentic Kodava cuisine in traditional setting.",https://www.google.com/maps?q=12.4244,75.7382,restaurant
Raining Leaves,"Madikeri, Karnataka",Galibeedu,500,4.7,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=800,"Plantation-style restaurant with organic farm produce.",https://www.google.com/maps?q=12.3796,75.6897,restaurant
Heritage Resort Hampi,"Hampi, Karnataka",Kamalapura,5500,4.6,https://images.unsplash.com/photo-1549294413-26f195200c16?w=800,"Resort near UNESCO World Heritage ruins.",https://www.google.com/maps?q=15.3350,76.4600,hotel
Hyatt Place Hampi,"Hampi, Karnataka",Hospet Road,7000,4.7,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800,"Modern hotel with views of boulder landscape.",https://www.google.com/maps?q=15.3173,76.4602,hotel
Mango Tree,"Hampi, Karnataka",Virupapura Gaddi,350,4.5,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=800,"Riverside restaurant with boulder views.",https://www.google.com/maps?q=15.3350,76.4700,restaurant
The Gateway Hotel,"Mangalore, Karnataka",Old Port Road,7500,4.6,https://images.unsplash.com/photo-1549294413-26f195200c16?w=800,"Beachfront hotel near Mangalore city center.",https://www.google.com/maps?q=12.8699,74.8425,hotel
Vivanta Mangalore,"Mangalore, Karnataka",MG Road,8500,4.7,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800,"Contemporary hotel in the heart of the city.",https://www.google.com/maps?q=12.8698,74.8425,hotel
Giri Manja's,"Mangalore, Karnataka",Balmatta,450,4.7,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=800,"Legendary eatery for authentic Mangalorean seafood.",https://www.google.com/maps?q=12.8699,74.8451,restaurant
Machali,"Mangalore, Karnataka",Falnir,550,4.6,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=800,"Coastal cuisine specialist with daily fresh catch.",https://www.google.com/maps?q=12.8719,74.8472,restaurant
Paradise Isle Beach Resort,"Gokarna, Karnataka",Om Beach,4500,4.5,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800,"Beachfront cottages on pristine Om Beach.",https://www.google.com/maps?q=14.5484,74.3188,hotel
SwaSwara,"Gokarna, Karnataka",Om Beach,15000,4.8,https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?w=800,"Wellness retreat focusing on yoga and Ayurveda.",https://www.google.com/maps?q=14.5484,74.3188,hotel
Namaste Cafe,"Gokarna, Karnataka",Om Beach,400,4.5,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=800,"Iconic beach cafe with Israeli and continental food.",https://www.google.com/maps?q=14.5484,74.3188,restaurant
ITC Windsor,"Bengaluru, Karnataka",Golf Course Road,12500,4.8,https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?w=800,"Heritage luxury hotel near the golf course.",https://www.google.com/maps?q=12.9716,77.5946,hotel
The Ritz-Carlton,"Bengaluru, Karnataka",Residency Road,14000,4.8,https://images.unsplash.com/photo-1566073771259-cc28c264e15e?w=800,"Luxury hotel in the heart of business district.",https://www.google.com/maps?q=12.9732,77.6041,hotel
Karavalli,"Bengaluru, Karnataka",Gateway Hotel,1500,4.7,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=800,"Award-winning restaurant for coastal Indian cuisine.",https://www.google.com/maps?q=12.9716,77.5946,restaurant
Toit,"Bengaluru, Karnataka",Indiranagar,800,4.6,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=800,"Popular microbrewery and gastropub.",https://www.google.com/maps?q=12.9716,77.6412,restaurant
Meghana Foods,"Bengaluru, Karnataka",Residency Road,400,4.5,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=800,"Famous for Andhra-style biryanis and spicy curries.",https://www.google.com/maps?q=12.9784,77.6408,restaurant
The Leela Kovalam,"Thiruvananthapuram, Kerala",Kovalam Beach,13500,4.8,https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?w=800,"Clifftop luxury resort overlooking the Arabian Sea.",https://www.google.com/maps?q=8.3987,76.9784,hotel
Vivanta Trivandrum,"Thiruvananthapuram, Kerala",Kowdiar,7500,4.6,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800,"Contemporary hotel in peaceful Kowdiar area.",https://www.google.com/maps?q=8.5241,76.9479,hotel
Zam Zam Restaurant,"Thiruvananthapuram, Kerala",Chalai Bazaar,250,4.5,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=800,"Popular for authentic Malabar biryanis since 1976.",https://www.google.com/maps?q=8.4875,76.9498,restaurant
Villa Maya,"Thiruvananthapuram, Kerala",Airport Road,1200,4.7,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=800,"Fine dining in a restored 18th-century Dutch mansion.",https://www.google.com/maps?q=8.4799,76.9201,restaurant
Spice Village,"Thekkady, Kerala",Kumily,8500,4.7,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800,"Eco-resort styled like a tribal village.",https://www.google.com/maps?q=9.5938,77.1560,hotel
Cardamom County,"Thekkady, Kerala",Plantation Area,9500,4.7,https://images.unsplash.com/photo-1549294413-26f195200c16?w=800,"Plantation resort with spice garden tours.",https://www.google.com/maps?q=9.6004,77.1639,hotel
Chrissie's Cafe,"Thekkady, Kerala",Kumily Town,350,4.5,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=800,"Cozy cafe with Kerala and continental cuisine.",https://www.google.com/maps?q=9.5938,77.1560,restaurant
Kumarakom Lake Resort,"Kumarakom, Kerala",Vembanad Lake,16000,4.9,https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?w=800,"Heritage luxury resort on backwater lagoon.",https://www.google.com/maps?q=9.6177,76.4315,hotel
Coconut Lagoon,"Kumarakom, Kerala",Vembanad Lake,14000,4.8,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800,"Eco-resort with traditional Kerala architecture.",https://www.google.com/maps?q=9.6177,76.4315,hotel
Ettukettu,"Kumarakom, Kerala",Lake Resort,1800,4.7,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=800,"Fine dining restaurant in heritage mansion setting.",https://www.google.com/maps?q=9.6177,76.4315,restaurant
ITC Grand Bharat,"Gurgaon, Haryana",Taoru,18000,4.9,https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?w=800,"Ultra-luxury retreat with golf course and spa.",https://www.google.com/maps?q=28.1573,76.9527,hotel
The Oberoi Gurgaon,"Gurgaon, Haryana",Golf Course Road,15000,4.8,https://images.unsplash.com/photo-1566073771259-cc28c264e15e?w=800,"Contemporary luxury hotel near business district.",https://www.google.com/maps?q=28.4595,77.0266,hotel
Trident Gurgaon,"Gurgaon, Haryana",Udyog Vihar,9500,4.6,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800,"Modern business hotel with great amenities.",https://www.google.com/maps?q=28.4935,77.0874,hotel
Farzi Cafe,"Gurgaon, Haryana",Cyber Hub,1200,4.6,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=800,"Modern Indian bistro with molecular gastronomy.",https://www.google.com/maps?q=28.4951,77.0884,restaurant
Sagar Ratna,"Gurgaon, Haryana",MG Road,350,4.4,https://images.unsplash.com/photo-1668236543090-82eba5ee5976?w=800,"Popular chain for authentic South Indian food.",https://www.google.com/maps?q=28.4595,77.0266,restaurant
