title,location,place,price,rating,image_url,details,map_url,available_dates,booked_dates
Puducherry French Quarters,"Puducherry, India",White Town,4400,4.6,https://picsum.photos/seed/puducherry-french-17/800/600,"Colonial charm with vibrant streets.",https://www.google.com/maps?q=Puducherry+India,,
Kanchipuram Silk Route,"Kanchipuram, Tamil Nadu, India",Temple Street,2700,4.2,https://picsum.photos/seed/kanchipuram-silk-18/800/600,"Quiet stay near historic temples.",https://www.google.com/maps?q=Kanchipuram+Tamil+Nadu,,
Kochi Harbour Lights,"Kochi, Kerala, India",Marine Drive,4800,4.7,https://picsum.photos/seed/kochi-harbour-19/800/600,"Waterfront rooms with harbor views.",https://www.google.com/maps?q=Kochi+Kerala,,
Munnar Tea Valley Resort,"Munnar, Kerala, India",Tea Gardens,5600,4.8,https://picsum.photos/seed/munnar-tea-20/800/600,"Hill retreat among tea estates.",https://www.google.com/maps?q=Munnar+Kerala,,
Thiruvananthapuram Beachfront,"Thiruvananthapuram, Kerala, India",Kovalam,5200,4.6,https://picsum.photos/seed/trivandrum-beach-21/800/600,"Beachside stay with sea breeze.",https://www.google.com/maps?q=Thiruvananthapuram+Kerala,,
Kozhikode Malabar Inn,"Kozhikode, Kerala, India",SM Street,3300,4.4,https://picsum.photos/seed/kozhikode-malabar-22/800/600,"Central location with cozy rooms.",https://www.google.com/maps?q=Kozhikode+Kerala,,
Alappuzha Backwater Villa,"Alappuzha, Kerala, India",Backwaters,5800,4.9,https://picsum.photos/seed/alappuzha-backwater-23/800/600,"Peaceful stay by the canals.",https://www.google.com/maps?q=Alappuzha+Kerala,,
Thrissur Temple City Hotel,"Thrissur, Kerala, India",Round Road,3200,4.3,https://picsum.photos/seed/thrissur-temple-24/800/600,"Comfort stay near the temple circle.",https://www.google.com/maps?q=Thrissur+Kerala,,
Wayanad Forest Retreat,"Wayanad, Kerala, India",Kalpetta,6000,4.8,https://picsum.photos/seed/wayanad-forest-25/800/600,"Nature retreat with forest views.",https://www.google.com/maps?q=Wayanad+Kerala,,
Kollam Lagoonside,"Kollam, Kerala, India",Ashtamudi Lake,4200,4.5,https://picsum.photos/seed/kollam-lagoon-26/800/600,"Lakefront stay with calm surroundings.",https://www.google.com/maps?q=Kollam+Kerala,,
Palakkad Fort Inn,"Palakkad, Kerala, India",Fort Area,3000,4.2,https://picsum.photos/seed/palakkad-fort-27/800/600,"Heritage stay near the fort.",https://www.google.com/maps?q=Palakkad+Kerala,,
Kannur Coastline,"Kannur, Kerala, India",Payyambalam,4100,4.4,https://picsum.photos/seed/kannur-coast-28/800/600,"Coastal rooms near the beach.",https://www.google.com/maps?q=Kannur+Kerala,,
Bengaluru Techstay,"Bengaluru, Karnataka, India",Whitefield,4600,4.6,https://picsum.photos/seed/bengaluru-tech-29/800/600,"Modern stay in the tech corridor.",https://www.google.com/maps?q=Bengaluru+Karnataka,,
Bengaluru Garden Plaza,"Bengaluru, Karnataka, India",Indiranagar,4400,4.5,https://picsum.photos/seed/bengaluru-garden-30/800/600,"Urban stay with green spaces nearby.",https://www.google.com/maps?q=Bengaluru+Karnataka,,
Mysuru Palace View,"Mysuru, Karnataka, India",Palace Road,3800,4.6,https://picsum.photos/seed/mysuru-palace-31/800/600,"Elegant rooms near the palace.",https://www.google.com/maps?q=Mysuru+Karnataka,,
Mangaluru Seaside,"Mangaluru, Karnataka, India",Panambur,4000,4.4,https://picsum.photos/seed/mangaluru-sea-32/800/600,"Beachside stay with fresh air.",https://www.google.com/maps?q=Mangaluru+Karnataka,,
Coorg Misty Hills,"Madikeri, Karnataka, India",Coffee Estates,6200,4.9,https://picsum.photos/seed/coorg-misty-33/800/600,"Hill resort in coffee country.",https://www.google.com/maps?q=Madikeri+Karnataka,,
Hampi Heritage Lodge,"Hampi, Karnataka, India",Temple Ruins,3600,4.5,https://picsum.photos/seed/hampi-heritage-34/800/600,"Historic stay near the ruins.",https://www.google.com/maps?q=Hampi+Karnataka,,
Udupi Coastal Inn,"Udupi, Karnataka, India",Malpe Beach,3500,4.4,https://picsum.photos/seed/udupi-coast-35/800/600,"Coastal stay with serene views.",https://www.google.com/maps?q=Udupi+Karnataka,,
Hubballi Business Stay,"Hubballi, Karnataka, India",Station Road,3200,4.2,https://picsum.photos/seed/hubballi-business-36/800/600,"Convenient rooms near transport.",https://www.google.com/maps?q=Hubballi+Karnataka,,
Belagavi Grand,"Belagavi, Karnataka, India",Tilakwadi,3300,4.3,https://picsum.photos/seed/belagavi-grand-37/800/600,"Comfort stay with city access.",https://www.google.com/maps?q=Belagavi+Karnataka,,
Shivamogga Riverbend,"Shivamogga, Karnataka, India",Tunga River,3700,4.5,https://picsum.photos/seed/shivamogga-river-38/800/600,"Riverfront rooms with calm views.",https://www.google.com/maps?q=Shivamogga+Karnataka,,
Hyderabad Charminar Suites,"Hyderabad, Telangana, India",Charminar,4200,4.6,https://picsum.photos/seed/hyderabad-charminar-39/800/600,"Heritage stay in the old city.",https://www.google.com/maps?q=Hyderabad+Telangana,,
Hyderabad Hitech Residence,"Hyderabad, Telangana, India",HITEC City,4800,4.7,https://picsum.photos/seed/hyderabad-hitech-40/800/600,"Modern rooms near tech offices.",https://www.google.com/maps?q=Hyderabad+Telangana,,
Warangal Lakeview,"Warangal, Telangana, India",Kakatiya Lake,3600,4.4,https://picsum.photos/seed/warangal-lake-41/800/600,"Relaxing stay by the lake.",https://www.google.com/maps?q=Warangal+Telangana,,
Karimnagar Greenleaf,"Karimnagar, Telangana, India",Lake Area,3000,4.2,https://picsum.photos/seed/karimnagar-green-42/800/600,"Comfort stay with green surroundings.",https://www.google.com/maps?q=Karimnagar+Telangana,,
Visakhapatnam Bay Hotel,"Visakhapatnam, Andhra Pradesh, India",RK Beach,5200,4.7,https://picsum.photos/seed/vizag-bay-43/800/600,"Sea view rooms near the beach.",https://www.google.com/maps?q=Visakhapatnam+Andhra+Pradesh,,
Vijayawada Riverside,"Vijayawada, Andhra Pradesh, India",Krishna River,3800,4.4,https://picsum.photos/seed/vijayawada-river-44/800/600,"Riverside stay with city access.",https://www.google.com/maps?q=Vijayawada+Andhra+Pradesh,,
Tirupati Hilltop Inn,"Tirupati, Andhra Pradesh, India",Hill Road,3500,4.5,https://picsum.photos/seed/tirupati-hill-45/800/600,"Peaceful rooms near the shrine route.",https://www.google.com/maps?q=Tirupati+Andhra+Pradesh,,
Amaravati Capital Suites,"Amaravati, Andhra Pradesh, India",Capital Area,3600,4.3,https://picsum.photos/seed/amaravati-capital-46/800/600,"Modern stay in the capital region.",https://www.google.com/maps?q=Amaravati+Andhra+Pradesh,,
Guntur City Center,"Guntur, Andhra Pradesh, India",Main Road,2800,4.2,https://picsum.photos/seed/guntur-center-47/800/600,"City stay with easy access.",https://www.google.com/maps?q=Guntur+Andhra+Pradesh,,
Nellore Coast Stay,"Nellore, Andhra Pradesh, India",Coastal Road,3000,4.3,https://picsum.photos/seed/nellore-coast-48/800/600,"Coastal rooms with quiet nights.",https://www.google.com/maps?q=Nellore+Andhra+Pradesh,,
Mumbai Marine Drive Hotel,"Mumbai, Maharashtra, India",Marine Drive,6200,4.8,https://picsum.photos/seed/mumbai-marine-49/800/600,"Iconic sea-facing stay.",https://www.google.com/maps?q=Mumbai+Maharashtra,,
Mumbai Bandra Bay,"Mumbai, Maharashtra, India",Bandra,6000,4.7,https://picsum.photos/seed/mumbai-bandra-50/800/600,"Stylish stay in the suburbs.",https://www.google.com/maps?q=Mumbai+Maharashtra,,
Pune City Central,"Pune, Maharashtra, India",Shivaji Nagar,4200,4.5,https://picsum.photos/seed/pune-central-51/800/600,"Central stay with great connectivity.",https://www.google.com/maps?q=Pune+Maharashtra,,
Pune Hinjewadi Suites,"Pune, Maharashtra, India",Hinjewadi,4600,4.6,https://picsum.photos/seed/pune-hinjewadi-52/800/600,"Tech hub stay with modern rooms.",https://www.google.com/maps?q=Pune+Maharashtra,,
Nagpur Orange County,"Nagpur, Maharashtra, India",Civil Lines,3400,4.3,https://picsum.photos/seed/nagpur-orange-53/800/600,"Comfort stay in the city core.",https://www.google.com/maps?q=Nagpur+Maharashtra,,
Nashik Vineyard View,"Nashik, Maharashtra, India",Vineyard Road,5200,4.7,https://picsum.photos/seed/nashik-vineyard-54/800/600,"Vineyard-side stay with scenic views.",https://www.google.com/maps?q=Nashik+Maharashtra,,
Aurangabad Gateway Inn,"Aurangabad, Maharashtra, India",CIDCO,3800,4.4,https://picsum.photos/seed/aurangabad-gateway-55/800/600,"Comfort stay near heritage sites.",https://www.google.com/maps?q=Aurangabad+Maharashtra,,
Kolhapur Heritage Court,"Kolhapur, Maharashtra, India",Old City,3000,4.2,https://picsum.photos/seed/kolhapur-heritage-56/800/600,"Classic stay with local charm.",https://www.google.com/maps?q=Kolhapur+Maharashtra,,
Mahabaleshwar Hill Resort,"Mahabaleshwar, Maharashtra, India",Mapro Road,6400,4.8,https://picsum.photos/seed/mahabaleshwar-hill-57/800/600,"Hill resort with misty views.",https://www.google.com/maps?q=Mahabaleshwar+Maharashtra,,
Lonavala Mist Retreat,"Lonavala, Maharashtra, India",Tiger Point,5800,4.7,https://picsum.photos/seed/lonavala-mist-58/800/600,"Weekend getaway with valley views.",https://www.google.com/maps?q=Lonavala+Maharashtra,,
Panaji Riverfront,"Panaji, Goa, India",Mandovi River,4800,4.6,https://picsum.photos/seed/panaji-river-59/800/600,"Riverside stay in the capital.",https://www.google.com/maps?q=Panaji+Goa,,
Candolim Beach Resort,"Candolim, Goa, India",Beach Road,6200,4.8,https://picsum.photos/seed/candolim-beach-60/800/600,"Beachfront resort with modern rooms.",https://www.google.com/maps?q=Candolim+Goa,,
Calangute Sunscape,"Calangute, Goa, India",Calangute Beach,6000,4.7,https://picsum.photos/seed/calangute-sun-61/800/600,"Vibrant stay near the shoreline.",https://www.google.com/maps?q=Calangute+Goa,,
Palolem Bay Retreat,"Palolem, Goa, India",Palolem Beach,6500,4.8,https://picsum.photos/seed/palolem-bay-62/800/600,"Quiet beach retreat with palm views.",https://www.google.com/maps?q=Palolem+Goa,,
Jaipur Pink City Hotel,"Jaipur, Rajasthan, India",MI Road,4200,4.6,https://picsum.photos/seed/jaipur-pink-63/800/600,"Royal themed stay in the pink city.",https://www.google.com/maps?q=Jaipur+Rajasthan,,
Udaipur Lake Palace Inn,"Udaipur, Rajasthan, India",Lake Pichola,6800,4.9,https://picsum.photos/seed/udaipur-lake-64/800/600,"Lakefront stay with palace views.",https://www.google.com/maps?q=Udaipur+Rajasthan,,
Jodhpur Blue City Stay,"Jodhpur, Rajasthan, India",Clock Tower,3600,4.5,https://picsum.photos/seed/jodhpur-blue-65/800/600,"Old city stay with heritage vibes.",https://www.google.com/maps?q=Jodhpur+Rajasthan,,
Jaisalmer Desert Haven,"Jaisalmer, Rajasthan, India",Fort Road,5200,4.7,https://picsum.photos/seed/jaisalmer-desert-66/800/600,"Desert stay with warm hospitality.",https://www.google.com/maps?q=Jaisalmer+Rajasthan,,
Ajmer Heritage Lodge,"Ajmer, Rajasthan, India",Dargah Road,3000,4.3,https://picsum.photos/seed/ajmer-heritage-67/800/600,"Comfort stay near the shrine.",https://www.google.com/maps?q=Ajmer+Rajasthan,,
Pushkar Lakefront,"Pushkar, Rajasthan, India",Lake Road,3400,4.4,https://picsum.photos/seed/pushkar-lake-68/800/600,"Peaceful stay by the lake.",https://www.google.com/maps?q=Pushkar+Rajasthan,,
Ahmedabad Riverfront Suites,"Ahmedabad, Gujarat, India",Sabarmati River,4200,4.5,https://picsum.photos/seed/ahmedabad-river-69/800/600,"Riverfront stay with city access.",https://www.google.com/maps?q=Ahmedabad+Gujarat,,
Surat Diamond Stay,"Surat, Gujarat, India",Ring Road,3600,4.4,https://picsum.photos/seed/surat-diamond-70/800/600,"Business stay in the diamond city.",https://www.google.com/maps?q=Surat+Gujarat,,
Vadodara Palace View,"Vadodara, Gujarat, India",Lakshmi Vilas,3400,4.3,https://picsum.photos/seed/vadodara-palace-71/800/600,"Stay near royal landmarks.",https://www.google.com/maps?q=Vadodara+Gujarat,,
Rajkot Central Hotel,"Rajkot, Gujarat, India",Kalavad Road,3200,4.2,https://picsum.photos/seed/rajkot-central-72/800/600,"City stay with modern comfort.",https://www.google.com/maps?q=Rajkot+Gujarat,,
Bhuj Desert Lodge,"Bhuj, Gujarat, India",Bhujodi,3800,4.4,https://picsum.photos/seed/bhuj-desert-73/800/600,"Desert edge stay with local arts.",https://www.google.com/maps?q=Bhuj+Gujarat,,
Dwarka Seaside Inn,"Dwarka, Gujarat, India",Temple Road,4600,4.6,https://picsum.photos/seed/dwarka-sea-74/800/600,"Seaside stay near the temple town.",https://www.google.com/maps?q=Dwarka+Gujarat,,
New Delhi Connaught Plaza,"New Delhi, India",Connaught Place,5200,4.7,https://picsum.photos/seed/delhi-connaught-75/800/600,"Central stay near shopping streets.",https://www.google.com/maps?q=New+Delhi+India,,
New Delhi Aero City Stay,"New Delhi, India",Aerocity,5400,4.8,https://picsum.photos/seed/delhi-aero-76/800/600,"Airport-friendly modern stay.",https://www.google.com/maps?q=New+Delhi+India,,
Agra Taj View Hotel,"Agra, Uttar Pradesh, India",Taj Ganj,4800,4.8,https://picsum.photos/seed/agra-taj-77/800/600,"Iconic views near the Taj.",https://www.google.com/maps?q=Agra+Uttar+Pradesh,,
Lucknow Nawab Residency,"Lucknow, Uttar Pradesh, India",Hazratganj,3600,4.4,https://picsum.photos/seed/lucknow-nawab-78/800/600,"Classic stay in the city center.",https://www.google.com/maps?q=Lucknow+Uttar+Pradesh,,
Varanasi Ghat View,"Varanasi, Uttar Pradesh, India",Assi Ghat,5000,4.7,https://picsum.photos/seed/varanasi-ghat-79/800/600,"Ghat-facing rooms with calm vibes.",https://www.google.com/maps?q=Varanasi+Uttar+Pradesh,,
Noida Business Park,"Noida, Uttar Pradesh, India",Sector 62,4200,4.5,https://picsum.photos/seed/noida-business-80/800/600,"Business stay near offices.",https://www.google.com/maps?q=Noida+Uttar+Pradesh,,
Kolkata City Heritage,"Kolkata, West Bengal, India",Park Street,4200,4.5,https://picsum.photos/seed/kolkata-heritage-81/800/600,"Heritage stay with city charm.",https://www.google.com/maps?q=Kolkata+West+Bengal,,
Darjeeling Tea Garden,"Darjeeling, West Bengal, India",Mall Road,5600,4.8,https://picsum.photos/seed/darjeeling-tea-82/800/600,"Mountain stay with tea views.",https://www.google.com/maps?q=Darjeeling+West+Bengal,,
Siliguri Gateway Inn,"Siliguri, West Bengal, India",Sevoke Road,3200,4.3,https://picsum.photos/seed/siliguri-gateway-83/800/600,"Transit stay to the hills.",https://www.google.com/maps?q=Siliguri+West+Bengal,,
Digha Seaside,"Digha, West Bengal, India",Beach Road,4000,4.4,https://picsum.photos/seed/digha-sea-84/800/600,"Beachside stay with sunrise views.",https://www.google.com/maps?q=Digha+West+Bengal,,
Bhubaneswar Temple Stay,"Bhubaneswar, Odisha, India",Temple Road,3600,4.4,https://picsum.photos/seed/bhubaneswar-temple-85/800/600,"Comfort stay near temple circuit.",https://www.google.com/maps?q=Bhubaneswar+Odisha,,
Puri Beachfront Hotel,"Puri, Odisha, India",Chakra Tirtha,5200,4.7,https://picsum.photos/seed/puri-beach-86/800/600,"Beachfront rooms near the shore.",https://www.google.com/maps?q=Puri+Odisha,,
Cuttack Silver City,"Cuttack, Odisha, India",Ring Road,3000,4.2,https://picsum.photos/seed/cuttack-silver-87/800/600,"City stay with easy access.",https://www.google.com/maps?q=Cuttack+Odisha,,
Amritsar Golden Plaza,"Amritsar, Punjab, India",Golden Temple Road,4600,4.7,https://picsum.photos/seed/amritsar-golden-88/800/600,"Stay near the Golden Temple.",https://www.google.com/maps?q=Amritsar+Punjab,,
Chandigarh Urban Retreat,"Chandigarh, India",Sector 17,4200,4.6,https://picsum.photos/seed/chandigarh-urban-89/800/600,"Modern stay in the city center.",https://www.google.com/maps?q=Chandigarh+India,,
Ludhiana City Center,"Ludhiana, Punjab, India",Mall Road,3400,4.3,https://picsum.photos/seed/ludhiana-center-90/800/600,"Business stay near main markets.",https://www.google.com/maps?q=Ludhiana+Punjab,,
Gurugram Cyber Hub Suites,"Gurugram, Haryana, India",Cyber Hub,5200,4.7,https://picsum.photos/seed/gurugram-cyber-91/800/600,"Premium stay near offices and dining.",https://www.google.com/maps?q=Gurugram+Haryana,,
Indore Central Park,"Indore, Madhya Pradesh, India",Vijay Nagar,3600,4.4,https://picsum.photos/seed/indore-park-92/800/600,"Comfort stay with quick city access.",https://www.google.com/maps?q=Indore+Madhya+Pradesh,,
Bhopal Lakeview Hotel,"Bhopal, Madhya Pradesh, India",Upper Lake,4200,4.6,https://picsum.photos/seed/bhopal-lake-93/800/600,"Lakeview rooms with peaceful vibes.",https://www.google.com/maps?q=Bhopal+Madhya+Pradesh,,
Gwalior Fort Inn,"Gwalior, Madhya Pradesh, India",Fort Road,3400,4.3,https://picsum.photos/seed/gwalior-fort-94/800/600,"Stay near the historic fort.",https://www.google.com/maps?q=Gwalior+Madhya+Pradesh,,
Jabalpur Marble Stay,"Jabalpur, Madhya Pradesh, India",Bhedaghat,3800,4.4,https://picsum.photos/seed/jabalpur-marble-95/800/600,"Scenic stay near marble rocks.",https://www.google.com/maps?q=Jabalpur+Madhya+Pradesh,,
Patna Riverfront Lodge,"Patna, Bihar, India",Gandhi Maidan,3200,4.2,https://picsum.photos/seed/patna-river-96/800/600,"Comfort stay near the riverfront.",https://www.google.com/maps?q=Patna+Bihar,,
Ranchi Green Hills,"Ranchi, Jharkhand, India",Morabadi,3400,4.3,https://picsum.photos/seed/ranchi-green-97/800/600,"Green surroundings with calm rooms.",https://www.google.com/maps?q=Ranchi+Jharkhand,,
Guwahati Brahmaputra View,"Guwahati, Assam, India",Uzan Bazar,4200,4.6,https://picsum.photos/seed/guwahati-river-98/800/600,"River view stay with city access.",https://www.google.com/maps?q=Guwahati+Assam,,
Shillong Cloud Nine,"Shillong, Meghalaya, India",Laitumkhrah,5200,4.7,https://picsum.photos/seed/shillong-cloud-99/800/600,"Hill stay with cool weather.",https://www.google.com/maps?q=Shillong+Meghalaya,,
Gangtok Himalayan Inn,"Gangtok, Sikkim, India",MG Marg,5600,4.8,https://picsum.photos/seed/gangtok-himalayan-100/800/600,"Mountain stay with stunning views.",https://www.google.com/maps?q=Gangtok+Sikkim,,
